month,db-name,value
2019-06,Microsoft SQL Server,1090.832
2019-07,Microsoft SQL Server,1093.179
2019-08,Microsoft SQL Server,1085.059
2019-09,Microsoft SQL Server,1094.717
2019-10,Microsoft SQL Server,1081.907
2019-11,Microsoft SQL Server,1096.201
2019-12,Microsoft SQL Server,1098.546
2020-01,Microsoft SQL Server,1093.745
2020-02,Microsoft SQL Server,1097.855
2020-03,Microsoft SQL Server,1083.428
2020-04,Microsoft SQL Server,1078.304
2020-05,Microsoft SQL Server,1067.313
2020-06,Microsoft SQL Server,1059.724
2020-07,Microsoft SQL Server,1075.874
2020-08,Microsoft SQL Server,1062.757
2020-09,Microsoft SQL Server,1043.121
2020-10,Microsoft SQL Server,1037.638
2020-11,Microsoft SQL Server,1038.087
2020-12,Microsoft SQL Server,1031.234
2021-01,Microsoft SQL Server,1022.934
2021-02,Microsoft SQL Server,1015.302
2012-10,PostgreSQL,195.07
2012-11,PostgreSQL,181.173
2012-12,PostgreSQL,167.475
2013-01,PostgreSQL,183.473
2013-02,PostgreSQL,177.159
2013-03,PostgreSQL,174.088
2013-04,PostgreSQL,182.345
2013-05,PostgreSQL,199.386
2013-06,PostgreSQL,182.373
2013-07,PostgreSQL,182.215
2013-08,PostgreSQL,182.23
2013-09,PostgreSQL,177.012
2013-10,PostgreSQL,190.835
2013-11,PostgreSQL,230.956
2013-12,PostgreSQL,228.247
2014-01,PostgreSQL,230.447
2014-02,PostgreSQL,235.056
2014-03,PostgreSQL,230.235
2014-04,PostgreSQL,240.642
2014-05,PostgreSQL,239.985
2014-06,PostgreSQL,239.458
2014-07,PostgreSQL,249.854
2014-08,PostgreSQL,255.792
2014-09,PostgreSQL,257.717
2014-10,PostgreSQL,257.357
2014-11,PostgreSQL,254.005
2014-12,PostgreSQL,254.488
2015-01,PostgreSQL,262.336
2015-02,PostgreSQL,264.435
2015-03,PostgreSQL,268.315
2015-04,PostgreSQL,273.519
2015-05,PostgreSQL,280.905
2015-06,PostgreSQL,272.826
2015-07,PostgreSQL,281.864
2015-08,PostgreSQL,286.176
2015-09,PostgreSQL,282.13
2015-10,PostgreSQL,285.69
2015-11,PostgreSQL,280.092
2015-12,PostgreSQL,282.401
2016-01,PostgreSQL,288.657
2016-02,PostgreSQL,299.625
2016-03,PostgreSQL,303.728
2016-04,PostgreSQL,307.613
2016-05,PostgreSQL,306.603
2016-06,PostgreSQL,311.153
2016-07,PostgreSQL,315.253
2016-08,PostgreSQL,316.354
2016-09,PostgreSQL,318.695
2016-10,PostgreSQL,325.817
2016-11,PostgreSQL,330.016
2016-12,PostgreSQL,330.37
2017-01,PostgreSQL,353.676
2017-02,PostgreSQL,357.637
2017-03,PostgreSQL,361.774
2017-04,PostgreSQL,365.911
2017-05,PostgreSQL,368.544
2017-06,PostgreSQL,369.438
2017-07,PostgreSQL,369.761
2017-08,PostgreSQL,372.363
2017-09,PostgreSQL,373.273
2017-10,PostgreSQL,379.916
2017-11,PostgreSQL,385.43
2017-12,PostgreSQL,386.183
2018-01,PostgreSQL,388.377
2018-02,PostgreSQL,399.346
2018-03,PostgreSQL,395.469
2018-04,PostgreSQL,400.902
2018-05,PostgreSQL,410.669
2018-06,PostgreSQL,405.811
2018-07,PostgreSQL,417.499
2018-08,PostgreSQL,406.428
2018-09,PostgreSQL,419.394
2018-10,PostgreSQL,440.243
2018-11,PostgreSQL,460.636
2018-12,PostgreSQL,466.114
2019-01,PostgreSQL,473.56
2019-02,PostgreSQL,469.806
2019-03,PostgreSQL,478.717
2019-04,PostgreSQL,478.888
2019-05,PostgreSQL,476.623
2019-06,PostgreSQL,483.277
2019-07,PostgreSQL,481.333
2019-08,PostgreSQL,482.247
2019-09,PostgreSQL,483.911
2019-10,PostgreSQL,491.071
